id,表章項目,男女_時系列,地域_時系列,時間軸(調査年),unit,value
1,人口,総数,全国,1920年,人,55963053
2,人口,総数,全国,1925年,人,59736822
3,人口,総数,全国,1930年,人,64450005
4,人口,総数,全国,1935年,人,69254148
5,人口,総数,全国,1940年,人,73114308
6,人口,総数,全国,1945年,人,71998104
7,人口,総数,全国,1950年,人,84114574
8,人口,総数,全国,1955年,人,90076594
9,人口,総数,全国,1960年,人,94301623
10,人口,総数,全国,1965年,人,99209137
11,人口,総数,全国,1970年,人,104665171
12,人口,総数,全国,1975年,人,111939643
13,人口,総数,全国,1980年,人,117060396
14,人口,総数,全国,1985年,人,121048923
15,人口,総数,全国,1990年,人,123611167
16,人口,総数,全国,1995年,人,125570246
17,人口,総数,全国,2000年,人,126925843
18,人口,総数,全国,2005年,人,127767994
19,人口,総数,全国,2010年,人,128057352
20,人口,総数,全国,2015年,人,127094745
21,人口,総数,全国,2020年,人,126146099
